Word,Root,Gloss,Morphemes,Line Numbers
хык,,,['ык (verbalizer)'],"501A, 919A, 1449A, 3326A"
ыыттаар,,,"['ыт (actionality imperative)', 'та (verbalizer)', 'ар (verbal noun)']","501A, 1449A"
кылайып,,,"['кы (nominalizer)', 'ла (verbalizer)', 'ып (circumstantial)']",503A
адакты,адак,very,['ты (past tense)'],"505A, 814B"
бажыны,бажы,"source, beginning, origin",['ны (accusative)'],"506A, 608A, 339B"
дүгү,,,['үг (adjectival)'],"506A, 740A, 1383A, 1385A, 142C"
агара,агар,flow,[],"506A, 740A"
карааныӊ,кара,dark blue,['ны (accusative)'],"507A, 972C"
огу,,,[],"507A, 1897A, 1908A, 2213A, 1095B, 1720C"
өлере,өл,wet,['ер (verbal noun)'],507A
будун,,,['ун (reflexive)'],"508A, 744A, 212B"
тулай,,,"['ту (past tense)', 'ла (verbalizer)']","508A, 744A"
чээҥ,,,[],508A
холун,хол,"arm, hand, arm and hand",['ун (reflexive)'],"509A, 743A, 1564A, 588C"
даяйнгыыщ,,,"['да (verbalizer)', 'гы (adjectival)']",509A
херээн,херээ,need,[],"510A, 804B, 1612B"
оргак,,,"['ор (aorist)', 'ак (nominalizer)']","510A, 511A"
баарын,баары,"visit, going",[],"511A, 3351A, 3367A, 168C, 855C, 1104C, 1112C, 1118C"
чаагыныў,чаа,okay,"['гы (adjectival)', 'ны (accusative)']",512A
салы,сал,raft,[],"512A, 513A, 741A, 742A, 468B"
курлаанда,кур,"belt, sash","['ла (verbalizer)', 'ан (participle)', 'да (verbalizer)']","512A, 742A"
четкен,че,okay,['кен (participle)'],"512A, 742A, 1393A, 2781A, 2783A, 2785A, 2787A, 3223A, 1538B"
эрин,эрин,bilabial,[],513A
сегелде,сегел,chin,['де (verbalizer)'],513A
ораашкан,,,"['ор (aorist)', 'аш (circumstantial)', 'кан (participle)']","513A, 741A, 1389A"
эӊгеме,,,['ге (dative)'],514A
ушпа,,,"['уш (reciprocal)', 'па (negative)']","514A, 745A, 390C, 1223C"
кылаштап,кылаш,march,['тап (plural)'],"515A, 1816A, 2092A, 2508A, 21B, 92B, 159B, 209B, 236B, 315B, 566B, 717B, 721B, 980B, 1047B, 1134B, 1138B, 1180B, 1181B, 1186B, 1216B, 1217B, 1223B, 1253B, 1260B, 1321B, 1322B, 1327B, 1341B, 528C, 842C, 905C, 956C, 971C, 989C, 1012C, 1098C, 1101C"
чугаалааш,чугаа,"conversation, speech, talk(ing)","['ла (verbalizer)', 'аш (circumstantial)']","516A, 1481A, 1525C, 1690C"
бажым,бажы,"source, beginning, origin",[],"517A, 142C, 1134C"
алдырзымза,алды,lynx,"['ым (posessive 1st singular)', 'за (verbalizer)']",517A
хомудаар,,,"['да (verbalizer)', 'ар (verbal noun)']",518A
хөлүм,хөл,lake,['үм (posessive 1st singular)'],518A
эрткен,эрткен,last,[],"518A, 1294A, 583C, 673C"
сөглээш,сө,strongly,[],"519A, 1482A"
эктим,,,['им (posessive 1st singular)'],520A
шанунаткаш,,,"['ну (accusative)', 'на (verbalizer)', 'каш (gerund prior action (after since having done) or circumstantial)']",520A
харыым,харыы,response,[],"521A, 1545A"
хүнүм,хүн,sunny,['үм (posessive 1st singular)'],522A
манаан,,,"['на (verbalizer)', 'ан (participle)']","522A, 691A, 390C, 1295C"
хүүрээм,,,['үр (causative)'],523A
даянган,,,"['да (verbalizer)', 'ган (participle)']","523A, 390C"
тон,тон,overcoat,[],"526A, 1521A, 684C, 1069C"
оваа,оваа,"sacred site, often marked with a rock cairn or ribbons tied to a tree",[],"527A, 712A, 713A, 1625A, 1626A"
бөрт,бөрт,hat,[],"527A, 684B, 685C, 845C"
силерге,силер,you (plural or singular honorific),['ге (dative)'],"530A, 1508A"
дошкун,дошкун,cruel,[],"531A, 538A, 559A, 590A, 592A, 611A, 750A, 753A, 759A, 901A, 902A, 904A, 914A, 922A, 982A, 988A, 989A, 991A, 1001A, 1014A, 1038A, 1066A, 1095A, 1097A, 1098A, 1101A, 1119A, 1130A, 1152A, 1170A, 1180A, 1193A, 1204A, 1218A, 1228A, 1241A, 1248A, 1249A, 1254A, 1259A, 1264A, 1269A, 1274A, 1299A, 1306A, 1315A, 1320A, 1324A, 1331A, 1344A, 1381A, 1399A, 1414A, 1432A, 1435A, 1461A, 1470A, 2189A, 3451A, 3457A, 3493A"
анаа,анаа,normal,[],"532A, 1836A, 1836A, 1891A, 989B, 1382B, 644C, 1441C, 1523C"
сандан,сан,digital,['дан (ablative)'],"532A, 533A, 534A, 535A, 19C, 33C, 37C, 844C"
агар,агар,flow,[],533A
чогум,чогум,"well, in general",[],534A
чойган,чойган,fir,[],535A
дерт,дер,sweat,[],"536A, 593A"
сандандан,сан,digital,"['дан (ablative)', 'дан (ablative)']",536A
сиилип,,,"['си (verbalizer)', 'ил (passive)', 'ип (circumstantial)']",536A
дээрниу,дээр,concern,['ни (accusative)'],"537A, 1504A, 1569A, 1680A, 2232A, 2884A"
ширээзи,ширээ,table (Archaic),['зи (verbalizer)'],"538A, 766A"
мээ,мээ,brain,[],"542A, 633A, 768A, 1995A, 2329A, 75B, 261B, 309B, 420B, 427B, 746B, 1039B, 1440B, 1552B, 1609B, 651C, 790C, 999C, 1238C, 1578C, 1610C"
дылдыг,дыл,tongue,['дыг (adjectival)'],"542A, 546A"
албатымда,а,but,"['ба (negative)', 'ым (posessive 1st singular)', 'да (verbalizer)']",542A
ирги,,,"['ир (participle)', 'ги (adjectival)']","542A, 544A, 948A, 1038A, 1089A, 2502A, 503B, 1598B, 182C, 205C, 210C, 461C, 534C, 778C, 1155C, 1193C, 1577C"
аъдым,а,but,['ым (posessive 1st singular)'],"544A, 1089A, 1462A, 1689A, 1859A, 2329A, 2638A, 2678A, 3097A, 3438A, 515B, 582B"
сээн,,,['эн (participle)'],"546A, 499B, 1614C, 1624C"
албатыӊда,а,but,"['ба (negative)', 'ты (past tense)', 'да (verbalizer)']","546A, 1510A"
ынаар,ынаар,"there, to there",[],"547A, 449C, 479C, 1442C, 1452C, 1460C, 1469C"
шыдаар,шыдаар,"can, be able to, know how to",[],"547A, 551A, 1513A, 329B, 1451B, 1705C, 1731C"
бодааш,бода,unit of measurement of number of cattle,['аш (circumstantial)'],"548A, 489C, 539C, 1774C, 1780C"
бодап,бода,unit of measurement of number of cattle,[],"548A, 3015A, 3093A, 503B, 619B, 682B, 709B, 1296B, 36C, 163C, 190C, 330C, 729C, 835C, 945C, 1293C, 1585C, 1649C, 1654C, 1724C"
аүдээш,а,but,[],549A
дүжеп,,,"['дү (past tense)', 'же (allative)']",549A
кадайныӊоглу,кадай,wife,['ны (accusative)'],554A
шыдап,,,"['шы (verbalizer)', 'да (verbalizer)']",556A
ширээни,ширээ,table (Archaic),['ни (accusative)'],"559A, 592A, 904A, 3451A, 3457A"
алзымза,а,but,"['ым (posessive 1st singular)', 'за (verbalizer)']",559A
хөвеӊ,,,[],"560A, 1696C"
шуглаар,шуглаар,wrap,[],"560A, 1521A"
хөвээ,,,[],"561A, 1522A"
хураганны,хураган,"lamb, goat kid",['ны (accusative)'],561A
азыраар,азы,"or not (at the end of a yes/no question), is(n’t) it?",['ар (verbal noun)'],"562A, 1523A"
каът,каът,"1. storey, floor, 2. mountain slope",[],"563A, 1520A, 1521A, 1628A, 1734A, 1814A, 858B, 863B, 868B, 881C"
шиа,,,['ши (verbalizer)'],564A
бажыңны,бажың,apartment,['ны (accusative)'],"564A, 21C"
иштинге,ишти,wife (literally - inner side of the yurt),['ге (dative)'],"564A, 570A, 658A, 1587A, 1713A, 3103A, 525B, 1145B, 525C, 560C, 683C, 746C, 1113C, 1115C, 1657C"
чурттадыр,чурт,"earth, country","['та (verbalizer)', 'дыр (causative or evidential)']",564A
чагып,чаг,fat,['ып (circumstantial)'],"565A, 653A, 796A, 801A, 1673A, 1873A, 2084A, 233B, 1011B, 1012B, 785C"
хаанҥ,хаан,"king, khan, ruler",[],566A
эккээри,эккээр,fetch,[],"567A, 1548B"
чорудупкаш,,,"['ор (aorist)', 'уп (circumstantial)', 'каш (gerund prior action (after since having done) or circumstantial)']","568A, 434B"
аптаразыныў,аптара,"chest, box","['зы (verbalizer)', 'ны (accusative)']",570A
шыгжааш,,,"['ыг (nominalizer)', 'аш (circumstantial)']",570A
дапсылыг,,,"['да (verbalizer)', 'сы (verbalizer)', 'лыг (adjectival)']","572A, 594A, 752A"
дөрбелчин,дөрбелчин,square,[],"573A, 595A, 637A, 641A, 783A, 2127A, 2401A"
ширээзин,ширээ,table (Archaic),['зин (volitive 3rd singular)'],"573A, 753A, 902A, 914A, 1350A, 1369A, 1414A, 1432A, 1435A, 3493A"
аразынга,аразын,among,['га (dative)'],"574A, 1236A, 1298A, 56B, 114C, 528C, 561C"
эдеп,,,['де (verbalizer)'],576A
түреп,,,['үр (causative)'],"576A, 1202C"
улчуп,,,"['ул (particle)', 'уп (circumstantial)']","577A, 1321B, 1203C, 1215C, 1571C"
кыраан,кыра,on-back,['ан (participle)'],"577A, 692A, 883A"
турда,,,"['тур (evidential)', 'да (verbalizer)']","577A, 718A, 2171A, 2337A, 2666A, 2669A, 2699A, 3116A, 3231A, 3339A, 442B, 515B, 631B, 762B, 765B, 784B, 831B, 1114B, 1206B, 1244B, 1251B, 1279B, 1544B, 90C, 369C, 779C, 1012C, 1258C, 1300C, 1313C"
халдып,,,"['ал (ability)', 'ып (circumstantial)']","579A, 829A, 1036A, 1059A, 1060A, 1310A, 1317A, 1534A, 1604A, 1624A, 1753A, 1771A, 1796A, 1900A, 1912A, 1962A, 1964A, 2114A, 2264A, 2272A, 2288A, 2301A, 2400A, 2404A, 1567B, 706C, 1254C"
кижини,кижи,human being,['ни (accusative)'],"580A, 650A, 1441A, 1464A, 1466A, 2024A, 2219A, 2238A, 3018A, 3039A, 3367A, 3367A, 3409A, 386B, 394B, 996B, 997B, 1023B, 1240B, 1372B, 587C, 622C, 837C, 1374C"
чарлыындан,ча,bow,['ындан (possessive 3rd ablative)'],580A
эртер,эртер,1. pass 2. catch up to,[],"580A, 790A, 1815A, 1904A, 1906A, 461C, 474C"
бараалга,бар,be (present),['лга (nominalizer)'],581A
адазы,ада,father,['зы (verbalizer)'],"582A, 620A, 1547A, 2550A, 74B, 746B, 760B, 773B, 778B, 786B, 805B, 819B, 824B, 843C"
хаанныўӊ,хаан,"king, khan, ruler",['ны (accusative)'],"583A, 1586A, 1358B"
магалыг,магалыг,fantastic,[],584A
ёзулуг,,,"['ул (particle)', 'уг (adjectival)']",585A
олургаш,олур,sit,['гаш (circumstantial)'],"587A, 982A, 2626A, 2816A, 2860A, 3422A, 49B, 108B, 131B, 422B, 658B, 668B, 751B, 791B, 838B, 1034B, 1076B, 1082B, 1087B, 1093B, 1123B, 1136B, 1385B, 1390B, 1403B, 1471B, 4C, 36C, 190C, 218C, 305C, 307C, 325C, 327C, 338C, 342C, 349C, 364C, 404C, 485C, 591C, 593C, 603C, 609C, 682C, 808C, 815C, 822C, 864C, 905C, 1327C, 1337C, 1342C, 1347C, 1447C, 1481C, 1490C, 1702C"
меӊээ,,,[],"588A, 1498A, 2967A, 2973A, 55B, 96B, 548B, 569B, 1526B, 980C, 997C"
дээрниў,дээр,concern,['ни (accusative)'],"589A, 1322A, 2299A"
дец,,,['де (verbalizer)'],590A
кижиде,кижи,human being,['де (verbalizer)'],"590A, 185B"
болзуӊза,бо,"this, that, those","['зу (verbalizer)', 'за (verbalizer)']","592A, 905A, 754B, 1209C"
мунар,мунар,"1. get on, sit on, mount (e.g. a horse), 2. ride",[],"598A, 2079A, 917C, 1161C, 1170C, 1187C, 1187C"
аъды,а,but,['ды (past tense)'],"598A, 631A, 663A, 868A, 942A, 1083A, 1091A, 1164A, 1209A, 1328A, 1332A, 1392A, 1593A, 1798A, 1869A, 1907A, 1940A, 2714A, 2909A, 2924A, 3087A, 3168A, 3171A, 3246A, 3248A, 74B, 478B, 634C"
мээн,мээ,brain,[],"599A, 247B, 181C, 1191C"
аъдымны,а,but,"['ым (posessive 1st singular)', 'ны (accusative)']","599A, 621A, 2650A, 3181A, 519B, 556B, 558B"
мунуп,,,"['ун (reflexive)', 'уп (circumstantial)']","599A, 621A, 677A, 735A, 2072A, 2259A, 2569A, 2778A, 3174A, 915C, 1155C, 1167C"
ал,а,but,[],"599A, 600A, 1376A, 1944A, 2757A, 2958A, 3250A, 3279A, 283B, 469B, 501B, 564B, 642B, 722B, 834B, 836B, 860B, 865B, 881B, 959B, 1007B, 1029B, 1142B, 1197B, 1238B, 1275B, 1409B, 506C, 526C, 1006C, 1095C, 1118C, 1449C, 1457C, 1483C, 1499C, 1562C, 1595C, 1615C, 1720C"
чамны,ча,bow,['ны (accusative)'],"600A, 622A"
астып,асты,pay for shaman services,[],"600A, 622A, 2096A, 334B, 1101C"
хайындырыумай,хай,misfortune,"['ын (reflexive)', 'дыр (causative or evidential)', 'ум (posessive 1st singular)']",602A
муӊгтараан,,,"['ар (verbal noun)', 'ан (participle)']",603A
деӊгерээн,,,"['де (verbalizer)', 'гер (verbalizer)', 'эн (participle)']",603A
адазынта,ада,father,"['зын (verbalizer)', 'та (verbalizer)']",604A
шылай,,,"['шы (verbalizer)', 'ла (verbalizer)']",605A
бердим,бе,mare,['им (posessive 1st singular)'],605A
удуучаӊнап,,,"['ду (past tense)', 'на (verbalizer)']",605A
чыдып,,,"['чы (verbalizer)', 'ып (circumstantial)']","605A, 1173A, 1179A, 1183A, 1196A, 1217A, 1267A, 1319A, 1379A, 1583A, 1678A, 1687A, 1696A, 1780A, 1824A, 1828A, 1931A, 2281A, 2467A, 2676A, 2680A, 2697A, 2956A, 2959A, 146B, 154B, 176B, 184B, 195B, 196B, 206B, 207B, 320B, 523B, 591B, 598B, 860B, 861B, 865B, 866B, 1020B, 1049B, 1133B, 1145B, 1306B, 1483B, 1591B, 1595B, 169C, 224C, 286C, 313C, 635C, 938C, 957C, 970C, 973C, 990C, 1011C, 1085C, 1099C, 1115C, 1119C, 1157C, 1169C, 1178C, 1185C, 1188C, 1382C"
балдырыныў,балдыр,calf,['ны (accusative)'],607A
сийри,,,['си (verbalizer)'],607A
бышпаан,,,"['ыш (reciprocal)', 'па (negative)', 'ан (participle)']",607A
коӊтураа,,,['тур (evidential)'],608A
чазылбаан,ча,bow,"['ыл (passive)', 'ба (negative)', 'ан (participle)']",608A
оглувусту,,,"['увус (posessive 1st plural)', 'ту (past tense)']",609A
алзыпкан,а,but,"['ып (circumstantial)', 'кан (participle)']","613A, 747B, 761B, 774B"
ширээмни,ширээ,table (Archaic),['ни (accusative)'],613A
негеп,,,"['не (verbalizer)', 'ге (dative)']",613A
эккел,,,['ке (dative)'],"613A, 1707A, 414B, 475B, 761B, 807B, 839B, 948B, 1576B, 44C, 51C, 56C, 428C, 439C, 440C, 493C, 501C, 507C, 772C, 870C, 1209C, 1433C, 1483C"
канчап,канчап,how,[],"613A, 1906A, 2273A, 2527A, 2623A, 2659A, 3014A, 56B, 95B, 323B, 608B, 982B, 1058B, 1368B, 1400B, 51C, 108C, 152C, 157C, 158C, 311C, 319C, 326C, 489C, 644C, 649C, 727C, 797C, 809C, 823C, 1090C, 1131C, 1361C, 1465C, 1468C"
айбылап,ай,"1. month, 2. moon",['ла (verbalizer)'],614A
оглу,,,[],"615A, 1980A, 1982A, 2029A, 2031A, 2034A, 2050A, 2052A, 2177A, 2349A, 2351A, 2368A, 2387A, 2398A, 2448A, 2533A, 2888A, 3131A, 3370A, 3417A, 0B, 21B, 22B, 77B, 94B, 101B, 108B, 124B, 127B, 130B, 138B, 149B, 196B, 218B, 226B, 240B, 309B, 376B, 400B, 416B, 431B, 437B, 449B, 256C, 277C, 288C, 331C, 1243C, 1247C, 1251C, 1256C, 1303C, 1764C"
удуп,,,['уп (circumstantial)'],"615A, 864A, 866A, 1379A, 1696A, 1737A, 1828A, 146B, 175B, 195B, 501B, 522B, 591B, 598B, 856B, 860B, 861B, 865B, 866B, 934B, 1119C, 1158C, 1158C, 1178C, 1178C, 1186C, 1186C"
хонгаш,,,['гаш (circumstantial)'],"615A, 2087A, 2688A, 3058A, 373B, 501B"
даартазында,даарта,tomorrow,['зында (possessive 3rd locative)'],"615A, 716A, 2088A, 2153A, 2242A, 2362A, 2632A, 2809A, 13B, 659B"
оттуп,от,fire,['уп (circumstantial)'],"615A, 1265A, 1691A, 1738A, 599B, 603B, 1158C, 1170C, 1178C, 1186C"
хөа,,,[],"616A, 2838A"
күш,күш,power,[],"617A, 934A, 1410A, 2967A, 55B, 96B, 116B, 208B, 1202B, 1240B, 1357C, 1387C, 1395C"
хүнезинден,хүн,sunny,"['зин (volitive 3rd singular)', 'ден (ablative)']",617A
эдик,,,['ик (verbalizer)'],"618A, 629A, 673A, 3030A, 3247A, 1318B, 943C"
хептен,хеп,"clothing, suit, dress",['тен (ablative)'],618A
хевимни,,,"['им (posessive 1st singular)', 'ни (accusative)']",623A
аъш,а,but,[],"624A, 694A, 734A, 1526A, 1538A, 3033A, 143B, 145B, 617B, 850B, 935B, 976B"
чемин,чем,dish,['ин (reflexive)'],"624A, 734A, 1355A, 1538A, 2078A, 2812A, 3031A, 3033A, 3465A, 145B, 175B, 195B, 617B, 617B, 895B, 1548C"
дөтерезин,,,"['тер (plural)', 'зин (volitive 3rd singular)']",625A
белеткедип,бел,salmon-trout,"['ке (dative)', 'ип (circumstantial)']",625A
чорду,,,"['ор (aorist)', 'ду (past tense)']","626A, 51B, 382B, 310C, 313C, 318C, 322C, 324C, 329C, 476C, 1668C, 1677C, 1683C, 1686C, 1691C, 1695C, 1710C"
олура,олур,sit,[],"628A, 900A, 921A, 1014A, 1035A, 1065A, 1101A, 1152A, 1193A, 1457A, 1468A, 1567A, 1584A, 1837A, 2009A, 2037A, 2062A, 2123A, 2359A, 2645A, 2738A, 2825A, 2874A, 2896A, 3196A, 3255A, 3330A, 3437A, 487B, 513B, 922B, 925B, 930B, 931B, 941B, 1173B, 1473B, 1004C, 1242C, 1250C, 1254C"
бутка,бут,"leg, foot, foot and leg",['ка (dative)'],630A
човаг,,,['ва (negative)'],"630A, 632A"
мунарга,мунар,"1. get on, sit on, mount (e.g. a horse), 2. ride",['га (dative)'],"631A, 918C"
ботка,бот,private,['ка (dative)'],632A
шаанда,,,"['ан (participle)', 'да (verbalizer)']","633A, 765A, 777B, 823B, 1555B, 292C, 305C, 368C, 1537C, 1768C"
эдилеп,,,"['ди (past tense)', 'ле (verbalizer)']","633A, 766A, 768A, 458B, 570B"
чорааным,,,"['ор (aorist)', 'ан (participle)', 'ым (posessive 1st singular)']",633A
баткан,,,"['ба (negative)', 'кан (participle)']","634A, 402B, 1115B, 1364B, 1407B"
улуг,улуг,elderly,[],"635A, 659A, 989A, 1095A, 1212A, 1216A, 1339A, 1339A, 1344A, 1378A, 1420A, 1421A, 1433A, 1765A, 1902A, 1965A, 2301A, 2553A, 2595A, 2596A, 2600A, 2903A, 3051A, 3067A, 3103A, 3165A, 3221A, 3337A, 3385A, 12B, 111B, 139B, 141B, 142B, 161B, 176B, 177B, 182B, 188B, 203B, 236B, 238B, 252B, 268B, 286B, 298B, 299B, 300B, 337B, 342B, 354B, 436B, 436B, 442B, 449B, 501B, 620B, 687B, 692B, 746B, 760B, 770B, 773B, 786B, 795B, 805B, 808B, 815B, 819B, 823B, 846B, 852B, 871B, 889B, 892B, 897B, 997B, 1048B, 1054B, 1065B, 1080B, 1083B, 1085B, 1091B, 1110B, 1110B, 1370B, 1439B, 1501B, 1511B, 1524B, 1568B, 1590B, 26C, 294C, 411C, 432C, 466C, 500C, 505C, 519C, 558C, 609C, 617C, 674C, 698C, 710C, 768C, 895C, 1331C, 1345C, 1768C, 1768C, 1768C, 1776C, 1776C, 1779C, 1783C, 1784C, 1786C, 1787C, 1788C, 1789C, 1790C, 1791C, 1792C"
тайга,тайга,taiga,[],"635A, 1053A, 1075A, 1086A, 1094A, 2404A, 2459A, 2907A, 2908A, 2911A, 2913A, 3071A, 3227A, 1181B, 1218B, 1255B"
дал,,,['ал (ability)'],"636A, 1074A, 1872A, 1877A, 2736A, 2764A, 2904A, 325B, 762B, 765B, 808B, 811B"
ортузунда,ортузу,center,['да (verbalizer)'],"636A, 1074A, 1872A, 1877A, 2904A, 2910A, 325B, 336B, 654B, 660B, 19C, 33C, 37C, 263C, 274C, 313C"
шак,шак,"this one, the (very) same one, that very one",[],"638A, 862C, 1418C, 1517C, 1636C, 1636C, 1638C, 1640C, 1641C, 1643C, 1644C, 1648C"
соӊтаар,,,"['та (verbalizer)', 'ар (verbal noun)']","638A, 996B, 679C, 1710C"
көрген,көр,please,['ген (postlocative)'],"638A, 1565A, 500B, 768B, 813B"
аастыг,аас,mouth,['ыг (nominalizer)'],"639A, 2239A, 2279A, 2283A"
куй,куй,cave,[],"639A, 1299C"
дөнен,,,['ен (reflexive)'],"640A, 656A, 2291A, 31B, 48B, 61B, 1223C, 1243C"
инек,,,"['ин (reflexive)', 'ек (nominalizer)']","640A, 656A, 782A, 1932A, 2450A, 2620A, 2621A, 13B, 14B, 31B, 48B, 61B, 295B, 720B, 761C, 898C"
дег,,,['де (verbalizer)'],"640A, 656A, 782A, 1003A, 1007A, 1062A, 1267A, 1806A, 1932A, 2203A, 2290A, 2291A, 2327A, 2405A, 2450A, 2459A, 2480A, 2485A, 2507A, 2511A, 2552A, 2593A, 2594A, 2772A, 2911A, 3051A, 13B, 14B, 31B, 32B, 48B, 61B, 337B, 479B, 485B, 1065B, 1113B, 114C, 705C, 896C, 897C, 897C, 898C, 898C, 899C, 899C, 1606C, 1607C, 1628C, 1629C, 1630C, 1666C, 1673C, 1696C, 1696C"
бора,бора,grey (horse color),[],"641A, 657A, 895A, 941A, 1131A, 1142A, 1201A, 1845A, 2453A, 2851A, 3076A, 546B, 766B, 1064B, 1196B, 1202B, 1204B, 1237B, 1240B, 1242B, 1274B, 1277B, 633C, 667C, 672C, 678C, 686C, 691C, 705C, 1480C"
даш,даш,stone,[],"641A, 717A, 13B, 14B, 46B, 89B, 115B, 871B, 879B, 988B, 1067B, 1415B, 1429B, 313C, 1694C"
аскын,ас,ermine,['кын (adjectival)'],"642A, 836A, 1524A, 1938A"
дуй,,,['ду (past tense)'],"642A, 1295A, 1313A, 658C, 676C"
базырып,,,"['ба (negative)', 'ыр (verbal noun)', 'ып (circumstantial)']","642A, 1899A"
кижинин,кижи,human being,['ин (reflexive)'],644A
херексели,херексел,instrument,[],645A
дөгере,дөгере,"everything, all",[],"645A, 1358B, 1359B"
эрликке,эрлик,underworld,['ке (dative)'],646A
баарда,баар,drive,['да (verbalizer)'],"646A, 647A, 648A, 530C"
эл,,,[],"647A, 1718A, 1755A, 529B, 1400C"
чаага,чаа,okay,['га (dative)'],"647A, 1868A"
эженге,,,"['ен (reflexive)', 'ге (dative)']",648A
чүзе,,,"['чү (verbalizer)', 'зе (verbalizer)']","649A, 2950A, 96B, 552C, 756C"
эргээнге,эр,husband (outdated) (literally - man),"['эн (participle)', 'ге (dative)']","650A, 659A"
ораар,ораар,wrap,[],"651A, 660A"
багдан,,,"['ба (negative)', 'дан (ablative)']","651A, 660A"
шупту,шупту,everything/everybody,[],"652A, 661A, 1119B, 1131B, 1299B, 166C, 332C, 931C"
адазыныӊ,ада,father,"['зы (verbalizer)', 'ны (accusative)']","654A, 912A, 1601A, 773B, 824B"
айтып,ай,"1. month, 2. moon",['ып (circumstantial)'],"654A, 831A, 1500A, 9C, 237C, 1218C, 1220C, 1221C, 1223C"
черинге,чер,place,"['ин (reflexive)', 'ге (dative)']","655A, 2309A, 2900A, 3327A, 8B, 765B, 846B, 1010B, 1018B, 1032B, 1167B, 296C, 317C, 1401C, 1409C, 1615C"
биче,биче,little,[],"656A, 710A, 989A, 1095A, 1287A, 1291A, 1302A, 1422A, 1423A, 1767A, 2597A, 2598A, 290B, 1085B, 1376B, 1515B"
эргээ,эр,husband (outdated) (literally - man),[],"656A, 711A"
дашты,дашты,exterior,[],"657A, 1899A, 1933A, 31B, 40B, 61B, 1432B, 705C"
согуннап,согун,arrow,['на (verbalizer)'],657A
куйнуу,куй,cave,['ну (accusative)'],"658A, 42B, 48B"
бээрге,бээр,trade in,['ге (dative)'],"658A, 874A, 1147A, 1163A, 1243A, 1779A, 1792A, 1909A, 2059A, 2959A, 3380A, 157B, 178B, 199B, 214B, 249B, 268B, 269B, 335B, 342B, 635B, 722B, 766B, 853B, 1048B, 1144B, 1282B, 1442B, 1467B, 1479B, 26C, 346C, 346C, 605C, 755C, 1384C"
хүнүш,хүн,sunny,['үш (reciprocal)'],662A
чүгенин,чүген,bridle,['ин (reflexive)'],"662A, 1261A, 1284A, 1590A, 2681A, 2850A, 3197A"
дээрже,дээр,concern,['же (allative)'],662A
мээӊ,мээ,brain,[],"663A, 2765A, 3093A, 3135A, 3281A, 3283A, 3285A, 433B, 533B, 591B, 612B, 627B, 628B, 236C, 657C, 741C, 758C, 1281C, 1589C, 1601C"
адамны,ада,father,['ны (accusative)'],"663A, 786B"
болзунза,бо,"this, that, those","['зун (verbalizer)', 'за (verbalizer)']","663A, 88B, 578B, 865C, 1140C, 1298C"
ээу,ээ,"host, owner",[],664A
меңээ,,,[],664A
маннап,,,"['ан (participle)', 'на (verbalizer)']","664A, 668A, 952C, 1177C, 1188C, 1442C, 1461C"
алгырып,алгы,"scream, shout, call",['ып (circumstantial)'],"665A, 1327A, 2412A, 2549A, 2707A, 3101A, 732B, 1308B, 791C, 796C, 888C, 1435C"
улдатпаанда,,,"['лда (nominalizer)', 'па (negative)', 'ан (participle)', 'да (verbalizer)']","666A, 634B"
айыны,ай,"1. month, 2. moon",['ны (accusative)'],666A
караан,кара,dark blue,['ан (participle)'],"666A, 667A, 1040A, 1266A, 1565A, 1750A, 1776A, 1777A, 1779A, 642C, 649C, 820C, 957C, 968C, 980C, 986C, 987C, 992C, 1001C, 1002C, 1764C"
дуглап,,,"['уг (adjectival)', 'ла (verbalizer)']","666A, 667A, 3475A, 13B, 14B, 25B, 26B, 27B, 36B, 38B, 45B"
күнүнүн,,,"['нү (accusative)', 'нү (accusative)']",667A
чели,чел,mane,[],"667A, 2317A"
хан,хан,blood,[],"668A, 868A, 873A, 942A, 1033A, 1054A, 1083A, 1091A, 1116A, 1136A, 1209A, 1212A, 1293A, 1301A, 1328A, 1360A, 1375A, 1591A, 1593A, 1618A, 1693A, 1694A, 1764A, 1772A, 1803A, 1869A, 1909A, 1950A, 1953A, 1973A, 2180A, 2228A, 2244A, 2259A, 2287A, 2289A, 2296A, 2322A, 2332A, 2337A, 2491A, 2500A, 2516A, 2564A, 2569A, 2616A, 2617A, 2691A, 2725A, 2732A, 2736A, 2778A, 2852A, 2853A, 2909A, 2919A, 2964A, 3078A, 3090A, 3162A, 3176A, 3246A, 3254A, 341B, 374B, 1417C"
шилги,шил,"jar, glass, bottle",['ги (adjectival)'],"668A, 687A, 723A, 735A, 868A, 873A, 942A, 1033A, 1054A, 1083A, 1091A, 1136A, 1163A, 1209A, 1293A, 1328A, 1375A, 1591A, 1593A, 1641A, 1694A, 1764A, 1772A, 1803A, 1869A, 1909A, 1953A, 1969A, 1973A, 2244A, 2296A, 2337A, 2500A, 2516A, 2564A, 2616A, 2853A, 2909A, 3078A, 3090A, 3246A, 472B, 478B, 484B, 484B, 489B, 495B, 509B, 514B, 515B, 517B, 519B, 556B, 582B, 1223C, 1253C, 1258C"
щөл,,,[],669A
