Word,Root,Gloss,Morphemes,Line Numbers
мооң,,,[],1142C
дүжүрген,,,"['дү (past tense)', 'үр (causative)', 'ген (postlocative)']",1143C
эргээни,эр,husband (outdated) (literally - man),['ни (accusative)'],1144C
иелерин,ие,mom,"['лер (plural)', 'ин (reflexive)']",1145C
доругуп,доруг,bay,['уп (circumstantial)'],1146C
чүвеў,чүве,stuff,[],1146C
чуртка,чурт,"earth, country",['ка (dative)'],"1148C, 1415C"
ыраар,ыр,song,['ар (verbal noun)'],1152C
чиирин,чиир,eat,['ин (reflexive)'],"1152C, 1165C, 1174C, 1181C"
саяк,саяк,mixed-gait,[],"1153C, 1161C, 1170C, 1186C"
кап,,,['ка (dative)'],1154C
саяктаары,саяк,mixed-gait,"['та (verbalizer)', 'ар (verbal noun)']",1155C
саяктааш,саяк,mixed-gait,"['та (verbalizer)', 'аш (circumstantial)']","1156C, 1156C, 1158C"
удуду,,,"['ду (past tense)', 'ду (past tense)']","1156C, 1168C, 1176C"
ховуга,хову,"field, plain",['га (dative)'],"1156C, 1168C, 1177C, 1184C, 1772C"
уаўау,,,[],"1158C, 1184C"
кулуну,кулун,"colt, horse",[],1159C
чаӊгы,ча,bow,['гы (adjectival)'],"1161C, 1170C"
хүндү,хүндү,politeness,[],"1161C, 1170C, 1187C"
чыраалат,чыраа,brown with black mane and tail,['ла (verbalizer)'],1165C
чыраалаары,чыраа,brown with black mane and tail,"['ла (verbalizer)', 'ар (verbal noun)']",1167C
латкаш,,,"['ла (verbalizer)', 'каш (gerund prior action (after since having done) or circumstantial)']",1168C
чыраалааш,чыраа,brown with black mane and tail,"['ла (verbalizer)', 'аш (circumstantial)']","1168C, 1184C"
араалчылаар,ара,distance,"['ал (ability)', 'чы (verbalizer)', 'ла (verbalizer)', 'ар (verbal noun)']",1174C
араалчы,ара,distance,"['ал (ability)', 'чы (verbalizer)']","1174C, 1176C"
араалчыладып,ара,distance,"['ал (ability)', 'чы (verbalizer)', 'ла (verbalizer)', 'ып (circumstantial)']",1175C
мунупкан,,,"['ун (reflexive)', 'уп (circumstantial)', 'кан (participle)']","1176C, 1183C"
араалчылааш,ара,distance,"['ал (ability)', 'чы (verbalizer)', 'ла (verbalizer)', 'аш (circumstantial)']",1177C
челерим,чел,mane,"['ер (verbal noun)', 'им (posessive 1st singular)']",1181C
дирип,,,"['дир (particle)', 'ип (circumstantial)']","1182C, 1478C"
челдирип,чел,mane,"['дир (particle)', 'ип (circumstantial)']",1182C
челери,чел,mane,['ер (verbal noun)'],1183C
эвесї,эвес,"not, no",[],1183C
чадарааҥ,чадар,cover,[],1186C
челер,чел,mane,['ер (verbal noun)'],"1187C, 1269C, 1283C, 1285C, 1305C, 1307C"
маӊнаар,,,"['на (verbalizer)', 'ар (verbal noun)']","1187C, 1256C"
чаӊты,ча,bow,['ты (past tense)'],1187C
чийрин,,,"['чи (verbalizer)', 'ин (reflexive)']",1191C
будум,,,['ум (posessive 1st singular)'],"1191C, 1437C"
таваӊгайында,та,discourse particle indicating uncertainty (in response to a question),"['ва (negative)', 'гай (optative)', 'ында (possessive 3rd locative)']",1191C
бижик,бижик,note,[],"1192C, 1196C"
номчуур,номчуур,read,[],1193C
чыттыр,чыт,smell,['тыр (causative)'],1194C
бижээчи,,,['чи (verbalizer)'],1196C
алырым,алыр,derive,['ым (posessive 1st singular)'],1196C
аштаан,аш,hunger,"['та (verbalizer)', 'ан (participle)']","1199C, 1406C, 1412C, 1421C, 1441C, 1459C, 1485C, 1526C"
эзиминге,эзим,"forest, wood(s)","['ин (reflexive)', 'ге (dative)']",1199C
элегдээн,,,"['ле (verbalizer)', 'эн (participle)']",1199C
чии,,,['чи (verbalizer)'],1199C
рин,,,['ин (reflexive)'],1200C
дижи,,,"['ди (past tense)', 'жи (verbalizer)']",1200C
шаккылаан,шак,"this one, the (very) same one, that very one","['кы (nominalizer)', 'ла (verbalizer)', 'ан (participle)']",1200C
