Word,Line Numbers
эъттежип,960A
шайлажып,960A
чагаа,"961A, 843B"
им,961A
демдек,961A
белээҥ,961A
алчып,961A
кускуну,962A
чүүн,"963A, 1896A"
үзүп,"963A, 1760A, 2607A, 2609A, 3296A, 3298A, 534B"
баксыразывысса,964A
гүг,965A
куурарып,965A
чорзувусса,966A
карарып,"967A, 1201C, 1472C"
хайындырыўумай,968A
кау,"969A, 1907A"
шанчып,"970A, 1792A, 2980A, 589B, 1074B, 1371B, 1015C, 1018C, 1021C, 1037C, 1039C, 1080C, 1084C, 1401C"
чорзумза,"971A, 973A, 2984A"
чүү,"972A, 1085A, 1087A, 1089A, 1471A, 1548A, 1594A, 1839A, 1920A, 2000A, 2572A, 2646A, 2826A, 2912A, 2950A, 3079A, 55B, 82B, 96B, 116B, 117B, 137B, 144B, 173B, 174B, 183B, 185B, 193B, 194B, 210B, 220B, 362B, 365B, 379B, 602B, 647B, 758B, 794B, 803B, 1027B, 1184B, 1198B, 1220B, 1239B, 1257B, 1358B, 1445B, 1446B, 1482B, 1523B, 1554B, 1580B, 1587B, 1592B, 49C, 57C, 77C, 133C, 184C, 185C, 197C, 205C, 222C, 232C, 262C, 281C, 292C, 346C, 381C, 415C, 421C, 428C, 432C, 432C, 434C, 436C, 637C, 683C, 769C, 865C, 1193C, 1271C, 1370C, 1636C, 1668C, 1686C"
карталып,972A
казылганы,"972A, 2983A"
хоорлуп,"972A, 2983A"
чыл,"974A, 1167A, 1171A, 1174A, 1998A, 2488A, 2693A, 2901A, 2921A, 3106A, 247B, 1423B, 299C, 330C, 857C, 1097C, 1111C, 1451C"
бүрүде,974A
өӊ,"974A, 2972A, 2985A, 3143A, 386B, 1583B, 680C"
чүведеп,"974A, 2689A, 3141A"
соӊнту,975A
ораныныӊ,"975A, 998A, 1588B"
соӊту,"976A, 1049A, 1699A, 2818A, 2858A, 3333A, 3489A, 529B, 814B, 1509C, 1693C"
чүгүн,"976A, 978A, 1067A, 1069A"
ораныны,977A
оруун,"981A, 1657A, 1571C, 1598C"
эдерип,"981A, 1470B"
оранны,"982A, 1102A, 411C, 1645C"
оолу,987A
_,"988A, 1003A, 1052A, 1560A, 2582A, 2717A, 2735A, 2886A, 2919A, 2998A, 3466A, 258B, 930B, 1213B, 1370B, 1531B, 125C, 454C, 564C, 710C, 723C, 735C, 847C, 1106C, 1249C, 1358C, 1397C, 1503C, 1545C, 1658C, 1760C"
олур,"988A, 1017A, 1088A, 1105A, 3227A, 682B, 709B, 1402B, 142C, 373C, 680C, 1512C, 1686C"
баглаӊар,990A
албатызы,"992A, 1097A, 1226A, 1396A, 1417A, 1446A, 2328A, 2595A, 2597A, 2885A, 3353A, 3396A, 3473A, 1539B, 279C, 288C, 713C, 717C"
дүүреп,992A
шеригге,"993A, 995A"
кадарткаш,"994A, 996A, 998A"
шеригте,997A
иштин,"998A, 144B, 651B, 1206B, 1244B, 1279B, 1533B"
кулугурну,"999A, 923B, 926B, 1296B, 531C, 1189C, 1693C, 1706C"
моон,"1000A, 1718A, 86B, 150B, 587B, 996B, 181C, 487C, 679C, 866C, 1152C, 1229C, 1232C"
өрү,"1000A, 1108A, 1234A, 1881A, 1918A, 2683A, 3073A, 337B, 767B, 809B, 813B, 814B, 1363B, 646C, 836C, 842C, 1201C, 1236C, 1243C, 1252C"
үндүрген,"1000A, 299B, 299B, 303B, 333C, 354C, 1073C, 1074C, 1075C, 1075C, 1075C"
оолдуу,"1002A, 1318A, 2509A, 2514A, 483B, 737B, 874B, 366C, 853C, 867C"
кырындыва,"1002A, 1025A"
бодуган,"1003A, 1007A, 2552A"
таваа,"1003A, 1007A, 1667A, 2552A"
чаӊныкты,1004A
дүжүрүп,"1005A, 298B, 942C, 951C, 1109C, 1111C"
түр,"1005A, 1338A, 1878A, 3252A, 827C, 827C, 1608C"
билгеш,"1006A, 1190A, 930B, 1441C, 1451C, 1459C, 1469C, 1486C"
чаунык,"1008A, 1459C"
олурда,"1008A, 1010A, 1013A, 1082A, 1303A, 1308A, 1334A, 2815A, 3047A, 3174A, 3202A, 3208A, 3244A, 3260A, 3443A, 64B, 167B, 188B, 209B, 270B, 361B, 613B, 896B, 28C, 140C, 1719C, 1778C"
арзылау,1009A
кыдат,"1009A, 1064A, 3285A"
каң,"1009A, 1523C"
эзеӊгизин,1009A
тейниӊ,1010A
доӊгайты,1010A
алгаштыӊ,"1010A, 717B"
чаӊнык,"1011A, 1015A, 1025A, 1030A, 2559A, 3455A, 1457C, 1463C, 1463C, 1467C"
эзеӊтиге,1011A
деггеш,"1011A, 2186A, 2209A, 2210A, 2211A, 2422A"
чаӊчарлы,1011A
бадырган,1015A
аўаа,1016A
алдырбайн,"1016A, 2494A, 2496A, 401B"
на,"1018A, 3177A, 206B, 245B, 326B, 327B, 406B, 406B, 503B, 870B, 915B, 928B, 956B, 960B, 965B, 968B, 996B, 1421B, 1536B, 116C, 132C, 486C, 536C, 755C, 764C, 778C, 827C, 930C, 1161C, 1164C, 1171C, 1173C, 1180C, 1187C, 1189C, 1417C, 1471C, 1472C, 1497C"
сени,"1018A, 2580A, 2830A, 2954A, 3145A, 3281A, 3323A, 87B, 328B, 412B, 495B, 640B, 1445B, 1576B, 362C, 378C, 620C, 676C, 1131C, 1150C, 1164C, 1189C, 1691C, 1707C"
адырам,"1019A, 207B, 619B, 921B, 927B"
улунун,1020A
азыын,1020A
булут,1021A
бүргеткеш,1021A
улузунуӊ,1022A
азыы,"1023A, 1302A"
хайындырыӊмайныӊ,"1025A, 3246A"
лүжүрүп,1025A
хайындырыўӊмай,"1026A, 1759A, 2016A, 2497A, 2690A, 2991A, 3376A"
чауныкка,1027A
бөргүӊүнӊ,1027A
дошказын,1028A
дөгеп,1029A
дошкага,1031A
деггилээш,1031A
чаӊчарай,1031A
какканыныў,1034A
сокканыныў,1035A
дээрнинӊ,1036A
соӊгу,"1037A, 1061A, 1824A, 2805A, 2891A, 3017A, 844B, 1676C"
сарыт,"1038A, 1097A, 1248A, 1254A, 1320A, 197C, 222C, 238C"
ораны,"1038A, 3472A, 1562B"
хөлчүк,1040A
аӊдара,"1041A, 1952A, 2284A, 1639C"
дүӊдере,1041A
тамы,"1042A, 1048B, 1145B, 1145B"
эзеп,"1043A, 1201C, 1419C, 1504C"
көгей,1045A
хөрээн,1045A
өгдеӊңнеди,1046A
таӊды,"1047A, 2593A"
бел,"1047A, 815B, 823B, 829B, 1498B, 1043C, 1054C"
кежиин,"1047A, 633C"
сыйбыӊнады,1048A
чүгүнче,1050A
дээрингё,1052A
деунешкен,1052A
какканыныӊ,"1055A, 1305A"
сокканыныӊ,1056A
каккан,"1057A, 1128B, 1586C, 1587C"
ояар,"1057A, 2640A, 917B, 933B"
дээринге,"1057A, 1408C, 1627C"
тайгазыныӊ,"1058A, 2400A, 887B"
кырынче,"1058A, 1748A, 2400A, 2404A, 2851A"
тайганыӊ,"1060A, 388C"
хаш,1063A
даӊзазын,1063A
ужулгаш,"1063A, 2681A, 661C"
диӊзезин,1064A
тиккеш,1064A
хайылады,1065A
соруп,1065A
дуранын,"1066A, 1068A"
ушта,"1066A, 1068A, 2961A, 169B, 190B, 212B, 780B, 826B, 1397B, 1401B, 943C, 943C, 944C, 953C, 965C, 983C, 986C, 1780C"
долгандыр,"1067A, 2073A, 2112A, 2310A, 2446A, 3456A, 89B, 454B, 1468B, 881C, 882C, 1383C"
дөгелей,1069A
сонгу,1071A
чиргилчинниг,"1073A, 2150A, 2212A, 541C, 873C"
чиңге,"1073A, 2150A"
хову,"1073A, 1955A, 3061A, 1019B, 543C, 873C, 1268C, 1274C, 1283C, 1290C, 1305C, 1307C, 1542C, 1774C"
ховуну,"1074A, 876C, 885C"
тайганы,"1076A, 1212C"
долганган,1076A
делегейни,"1077A, 1210A, 1212A, 2073A, 2652A, 672B, 1627C, 1645C"
ымыраа,"1077A, 1078A, 1079A, 1080A, 1084A, 1096A, 1565C"
сээги,1077A
сээк,"1078A, 1079A, 1080A, 1084A, 1096A, 1565C"
ышкаш,"1078A, 1080A, 1084A, 1096A, 2333A, 2767A, 80B, 83B, 1597B, 660C, 883C, 1530C, 1531C"
имиӊейнип,1080A
хайындырыңӊмай,1081A
танып,"1082A, 1088A, 3233A, 3463A"
чадап,"1082A, 1088A, 1265A, 1266A, 2502A, 1202B, 1240B, 1301B, 419C, 467C, 476C, 532C, 546C, 736C, 1265C, 1561C, 1582C, 1591C, 1595C, 1605C, 1615C, 1625C"
имилээн,"1085A, 1096A"
тайгалар,1087A
черле,"1088A, 354B, 737B, 793B, 906B, 908B, 1085B, 527C, 731C, 736C, 742C, 750C, 791C, 792C, 798C, 809C"
удур,"1090A, 2370A, 2408A, 2762A, 1510B, 146C, 351C, 589C, 606C, 731C"
болзуўза,1092A
угааныў,1093A
шолук,1093A
чүвеӊ,"1094A, 1096A, 2220A, 2346A, 2380A, 2390A, 2531A, 2993A, 3138A, 62B, 222B, 271B, 456B, 1002B, 1004B, 1020B, 1031B, 1032B, 1062B, 1074B, 1089B, 1099B, 1118B, 1145B, 1172B, 27C, 139C, 164C, 248C, 257C, 908C, 1087C"
хаанны,"1095A, 1119A, 1248A, 1705A, 1709A, 1974A, 2328A, 3102A, 3117A, 568B, 684B, 824B, 862B, 880B, 1150B, 1179B, 1218B, 149C, 198C, 209C, 231C, 255C, 283C, 285C, 286C, 287C, 708C, 734C, 890C"
өргээзи,"1095A, 1099A"
аыр,"1095A, 431C"
чымылаан,1096A
азазы,1102A
тайганын,"1104A, 3067A, 492C"
турамайлап,1105A
хардан,"1107A, 1108A"
куду,"1107A, 1916A, 3224A, 767B, 777B, 797B, 801B, 808B, 809B, 813B, 826B, 986B, 1406B, 88C, 291C, 399C, 525C, 630C, 646C, 684C, 732C, 740C, 769C, 770C, 775C, 777C, 779C, 874C, 876C, 885C, 1248C, 1546C, 1566C, 1632C"
өөн,"1110A, 298B, 874B, 187C, 1022C, 1043C"
күзередип,1110A
хөлзеп,"1111A, 1586C"
амытан,"1112A, 1113A, 1207A, 1211A, 2082A, 2312A, 2755A, 3013A, 3081A, 758B, 803B, 1085B, 1628C"
бастырып,"1112A, 1683A, 3484A"
ханга,"1113A, 1422C, 1529C"
чинге,1113A
боражып,1113A
шүүдээн,1114A
щшилги,1116A
аъдыныӊ,"1116A, 1383A, 1433A, 1621A, 1692A, 1761A, 1782A, 2681A, 852B, 639C"
даванынга,1116A
дәрт,1117A
азыглыг,1117A
дагазын,1118A
одунун,1119A
адаан,"1119A, 2004A, 2014A, 2222A, 2575A, 2877A, 3073A, 3127A, 636B, 812B, 180C"
кулаш,"1120A, 1456A, 1477A, 2719A, 507C"
кастынып,"1120A, 1291A, 2794A"
сендээш,"1120A, 1666A, 3149A"
муў,1121A
хуулдургаш,"1121A, 1136A, 1954A, 2726A"
оранче,"1122A, 1314A, 1654A, 2623A, 3252A, 215B, 228B, 233B, 249B, 329B, 381B, 426B"
бадырып,"1122A, 1811A, 2049A, 2553A, 3267A, 3436A, 1301B"
бадырыпкаш,"1124A, 762C"
дүвү,"1125A, 1139A, 856B"
дээлдиген,"1126A, 1138A"
каптагайныӊ,"1127A, 1141A, 2473A"
хартыга,"1128A, 1140A, 2474A, 167C"
бүлезинге,1130A
кирерини,1130A
эвин,"1130A, 1270A, 1373A"
тыппайн,"1130A, 1225A, 3230A, 315B, 320B, 357B, 403B, 425B, 429B, 978B, 1150B, 905C, 1200C, 1446C, 1551C, 1552C"
дээскинип,"1131A, 1139A, 2472A"
муу,"1131A, 1142A, 1778C"
өдек,"1132A, 1143A, 305C, 313C"
адаанга,"1132A, 1322A, 2402A, 3335A, 3427A, 343B, 590B, 598B, 1180B, 1217B, 1254B, 1779C"
дош,"1133A, 1082C"
т,"1133A, 1794A, 2334A, 2987A"
ун,1133A
шо,"1134A, 1077B, 1107B, 1109B, 743C"
төлгезин,1134A
чер,"1137A, 1687A, 1815A, 1922A, 2004A, 2025A, 2232A, 2237A, 2260A, 2368A, 2541A, 3230A, 3306A, 46B, 277B, 340B, 728B, 768B, 813B, 946B, 953B, 1015B, 1407B, 914C, 1309C, 1570C, 1706C"
алдынче,"1137A, 2792A, 2793A"
кастыктырып,1137A
киирди,1137A
алтан,"1138A, 12B, 812B, 191C, 629C"
шиижек,1142A
адаанда,"1143A, 1853A, 1992A, 1996A, 2023A, 2033A, 2059A, 2884A, 563B, 572B, 622B"
көрзүӊерзе,"1144A, 1155A"
өлүрүнер,1144A
аннап,1147A
чеди,"1149A, 1153A, 1167A, 1171A, 1174A, 2693A, 2694A, 2921A, 3023A, 890B, 1362B, 1362B, 1364B, 1364B, 1364B, 1365B, 1365B, 1366B, 1366B, 1371B, 1374B, 1374B, 1374B, 1381B, 1417B, 1418B, 1423B, 1465B, 1485B, 1490B, 1492B, 1516B, 1516B, 59C, 70C, 548C, 548C, 551C, 551C, 554C, 554C, 554C, 556C, 556C, 557C, 558C, 559C, 559C, 559C, 565C, 566C, 566C, 598C, 605C, 607C, 607C, 610C, 617C, 619C, 629C, 669C, 674C, 688C, 692C, 692C, 696C, 697C, 1060C, 1067C, 1087C, 1144C, 1262C, 1265C, 1310C, 1311C, 1323C, 1333C, 1351C, 1352C, 1571C, 1591C, 1642C, 1642C"
п,"1149A, -1B, 72B, 561B, 1282B, 524C, 682C, 1732C"
хат,"1150A, 1337A, 2300A, 361B, 362B, 1397B, 1401B, 454C, 560C, 699C, 707C, 1630C"
сырыннанып,1150A
эжиинге,"1151A, 842B"
терезин,"1153A, 1155A, 2695A, 1538C, 1631C"
келди,"1154A, 542B, 145C, 785C, 886C"
оттулуӊар,1155A
өрттедиӊер,"1155A, 1176A, 1184A"
өрттеткеш,1158A
куу,"1160A, 1167A, 1171A, 1174A, 1438A, 1459A, 1727A, 1752A, 1792A, 2695A, 2922A, 266B, 268B, 55C, 1245C, 1298C, 1415C"
мыяа,"1160A, 1167A, 1171A, 2922A, 1113B"
амытанны,1162A
аразы,"1162A, 2232A, 2301A, 946B, 953B"
чуглуп,"1162A, 3227A, 3416A, 339B, 494C"
хаң,1163A
аъдынга,"1163A, 1203A, 1259A, 1790A, 3088A"
чеде,"1163A, 1720A, 2088A, 2092A, 2114A, 2901A, 268B, 335B, 453B, 520B, 534B, 568B, 635B, 766B, 809B, 1070B, 1097B, 1128B, 1135B, 1144B, 1430B, 1467B, 12C, 16C, 26C, 125C, 129C, 245C, 299C, 794C, 831C, 839C, 843C, 1069C, 1216C, 1241C, 1245C, 1249C, 1254C, 1258C, 1302C, 1422C, 1444C, 1453C, 1461C, 1587C"
чернин,1164A
ортаа,"1164A, 1356A"
кезиин,"1164A, 875B, 877B"
хой,"1167A, 1171A, 1174A, 1175A, 1178A, 1182A, 2628A, 2636A, 2648A, 2654A, 2751A, 2760A, 295B, 896B, 1113B, 1296B, 1305B, 339C, 443C, 463C, 475C, 831C, 843C, 898C, 1666C, 1673C"
хххуулуп,1168A
өргээзиниў,1169A
даштынга,"1169A, 430C, 775C, 1059C"
аъттаныр,1173A
чарыкта,"1173A, 605B"
мыяандан,1174A
бөгүнгү,1175A
мыяанга,1175A
хуюктаӊар,1176A
кааш,"1177A, 1899A, 1910A, 2271A, 3039A, 3201A, 3425A, 3475A, 49B, 54B, 65B, 233B, 236B, 298B, 386B, 539B, 1018B, 1074B, 1099B, 1112B, 1165B, 573C, 737C, 792C, 942C, 1059C, 1103C, 1358C, 1428C"
саргызы,"1178A, 1182A, 1191A, 1194A, 1198A"
каъдынга,1179A
карышкаанда,1183A
саргы,"1184A, 1186A, 1188A"
чорза,"1184A, 263B"
дыдып,1187A
өлүт,1188A
дириг,"1188A, 263B, 488C, 516C, 757C, 934C, 1356C"
чүък,"1192A, 1195A"
карышкаанче,1192A
сарытг,"1193A, 1344A"
дәэр,1194A
аразынче,"1195A, 1355C, 1682C, 1710C"
черже,"1200A, 2662A, 258C, 1382C"
дүшкеш,"1200A, 1816A, 2909A, 235B, 314B, 616B, 1314B, 147C, 1401C"
бокшурга,1201A
аъдынче,1202A
илаби,1206A
шшидилиг,1206A
хууларымга,1208A
билгещ,1208A
хуулгаазын,"1210A, -1B"
чини,1212A
бужар,"1212A, 1111B"
ээремчик,"1212A, 1216A"
кирер,"1213A, 1846A, 1903A, 663B, 147C, 1400C"
болзууӊза,1213A
билбейн,1214A
чадавас,"1214A, 637C"
аъдыныўу,1216A
чагааны,1216A
доразынга,1217A
чыда,"1218A, 2089A, 912B, 1599B, 980C, 997C, 1015C, 1037C, 1139C, 1197C"
барганы,1219A
билдирбейн,"1219A, 174B, 194B"
баарды,"1219A, 3263A, 382B, 459B, 1401B, 1478B, 1482B, 1494B, 547C, 906C, 1659C, 1660C, 1669C, 1680C, 1689C, 1691C, 1748C"
кадарганынынӊ,1220A
кадарыӊар,1220A
күзеттээниниӊ,1221A
күзеттеӊер,1221A
илбилээш,1224A
шидилээш,1224A
баардым,1225A
шерий,1227A
аъттарын,"1229A, 2257A, 2354A"
өргээзин,"1229A, 1845A"
аүннү,1230A
дивейн,"1230A, 1231A, 3170A, 3306A, 60C"
хуггү,1231A
күзеттеп,1232A
өреге,"1234A, 1235A"
баан,"1234A, 1602C, 1641C"
алдынга,"1235A, 1363A, 1364A, 1899A, 372B, 1415B"
хараачаныӊ,1236A
мөгежелериниф,1236A
дузак,"1236A, 391C, 393C"
азыны,1238A
чылдарда,1239A
удуваан,1239A
хамык,"1240A, 1367A, 226B, 478B, 530B, 671B, 684B, 698B, 711B, 713B, 730B, 862B, 867B, 874B, 1311B, 83C, 162C, 223C, 224C, 233C, 283C, 485C, 488C, 491C, 836C, 838C, 846C, 867C, 870C, 881C, 1127C"
үйгүзүнга,1241A
баштааш,1241A
удуй,"1242A, 1243A, 1440B, 1443B, 1445B"
челим,1244A
челимнеп,1244A
хырба,1245A
хырбалап,1245A
албатыны,1246A
тудуштуруп,1246A
кулаан,"1247A, 522B, 1503C"
чыпншындыр,1247A
тарбыдап,"1247A, 2722A"
оң,1247A
удуткаш,"1248A, 3004A"
чазыныу,"1249A, 2189A"
кирижин,"1249A, 2189A, 950B"
кезип,"1249A, 1256A, 1258A, 1260A, 1285A, 2963A, 3204A, 1043B, 1045B, 1454B, 250C, 399C, 1121C, 1143C, 1202C, 1202C, 1309C, 1433C, 1437C, 1439C, 1445C, 1694C"
хожуулазыны,1250A
бизин,"1250A, 1251A, 1280A"
ооруп,1250A
улдуүзунуу,1251A
дашка,"1252A, 1281A, 3215A"
оюлдур,1253A
чирилдир,1253A
соктап,"1253A, 1780A"
эктинге,1254A
тонунун,1254A
эктинден,1255A
кескеш,"1255A, 2958A, 2962A, 1210B, 1247B, 1283B, 1357B"
чеунерининӊ,1256A
уштарынга,1256A
идиини,1257A
улдуӊун,1257A
сө,1257A
каган,1258A
эзертээр,1260A
эзерини,1260A
чиримин,"1260A, 1285A"
чулар,"1261A, 508B, 666C"
доймажылап,1261A
кижиге,"1262A, 1489A, 2308A, 94B, 464B, 1397C"
дыӊныр,1262A
эдилелин,1263A
үреп,"1263A, 684B, 713B, 1637C"
уйгу,"1267A, 3004A"
душте,1267A
чаалап,"1269A, 1509A, 835C"
ширээзинин,1269A
эптередир,1270A
буза,"1270A, 1131B, 1132B, 1138B"
чаза,"1270A, 1272A, 1285A, 2100A, 2102A, 2784A, 163B, 169B, 183B, 190B, 205B, 451B, 1277B, 463C, 519C, 520C, 521C, 1370C, 1372C"
соккаш,"1270A, 1399A, 1763A, 2453A, 3005A, 1395B, 1527C"
от,"1271A, 3111A, 157B, 157B, 158B, 178B, 179B, 198B, 199B, 735B, 115C"
орнундан,1271A
тепкеш,"1272A, 1317A, 1803A, 1953A, 2339A, 2507A, 1480B"
халып,"1273A, 1274A, 1590A, 1597A, 1697A, 1791A, 1804A, 1823A, 1838A, 2285A, 2310A, 2478A, 2483A, 3245A, 159B, 180B, 270B, 604B, 605B, 624B, 738B, 857B, 859B, 862B, 864B, 867B, 869B, 929B, 967B, 1441B, 1444B, 1596B, 1599B, 400C, 436C, 511C, 513C, 646C, 654C, 795C, 951C, 1048C, 1053C, 1081C, 1081C, 1094C, 1162C, 1371C, 1381C, 1401C, 1401C, 1656C, 1715C"
кирижи,1276A
үзүк,"1276A, 2006A"
молдуруу,1278A
оорук,1278A
улдузун,1279A
көк,"1280A, 1818A, 2026A, 2542A, 2550A, 2807A, 2813A, 2820A, 2828A, 2837A, 2861A, 2862A, 2865A, 2893A, 2903A, 2910A, 2911A, 2913A, 2915A, 2916A, 2933A, 2949A, 2965A, 2979A, 2986A, 2989A, 2990A, 2995A, 2998A, 3005A, 3006A, 3064A, 3428A, 547B, 848B, 1133B, 1415B, 1432B, 440C, 442C, 443C, 455C, 457C, 458C, 459C, 459C, 461C, 461C, 462C, 463C, 474C, 474C, 475C, 493C, 844C, 851C, 858C, 874C, 877C, 883C, 1201C, 1204C, 1312C, 1413C, 1429C, 1431C, 1503C, 1516C, 1517C, 1521C, 1526C, 1571C"
эттеп,"1281A, 58B, 278B, 958B, 958B, 969B, 991B, 516C, 617C, 617C"
каапкан,"1281A, 2723A, 367B, 430B, 780B, 827B, 878B, 1053B, 1088B, 1156B, 1299B, 1311B, 1528B, 1557B, 447C, 464C, 465C, 467C, 476C, 943C, 943C, 944C, 987C, 1056C, 1159C, 1168C, 1184C, 1639C, 1642C, 1647C, 1766C, 1772C"
эдиин,"1282A, 943C"
кедерге,"1282A, 1283A"
улдуӊу,1282A
чеу,1283A
моюндуруу,1283A
колун,1285A
эвиген,1288A
чанагаш,"1288A, 1721A, 1757A"
кирген,"1289A, 203C, 830C, 848C, 1780C"
черинден,"1289A, 2781A, 320C, 328C"
кастынган,1294A
довураа,1294A
кыӊчыдар,1296A
чарныныӊ,"1298A, 2619A"
холу,"1300A, 2101A, 1247C, 1703C"
шалырткайнып,1300A
шилгиниӊ,"1301A, 2322A, 2617A, 2736A"
балдырынга,1301A
сарыгныӊ,1302A
хыыӊайнып,"1302A, 2286A"
тыныжы,"1303A, 2323A, 1251C"
изиӊейнип,"1303A, 2323A"
сүргениниу,1307A
оруундан,1309A
арзайтыныӊ,"1311A, 752B, 755B, 645C"
хаязын,"1312A, 1317A, 1024C, 1044C"
тырткаш,"1312A, 1938A, 2728A, 2729A, 2738A, 93B, 102B, 112B, 113B, 123B, 124B, 125B, 211B, 968B, 1208B, 1245B, 1281B, 1282B, 772C, 965C, 986C"
каапкаш,"1313A, 2257A, 2309A, 3196A, 377B, 1326B, 1333B, 1340B, 1347B, 1415B, 1415B, 72C, 1004C, 1056C, 1157C, 1177C, 1519C"
арзайтынынӊ,1316A
аъдынын,1318A
соондан,"1321A, 2318A, 65B, 170B, 191B, 213B, 214B, 305B, 306B, 538B, 1215B, 1046C"
хайыӊдырыӊмай,"1323A, 3119A"
ызындырарыныӊ,1324A
аргазы,1324A
чат,"1326A, 1327A, 1329A, 1330A, 2297A, 2298A, 2517A, 2518A"
сыгызын,1326A
сыгыртып,1326A
алгызын,1327A
былгызын,"1329A, 2297A, 2517A"
былгырып,"1329A, 2297A, 2517A, 2909A, 1781C"
сидиин,"1330A, 2298A, 2518A, 515C"
сидиктеп,"1330A, 1364A, 2298A, 2793A, 328C, 1106C"
тудар,"1331A, 2659A, 1312B, 446C, 605C, 1726C"
былдааш,"1332A, 2747A"
туттурбайн,"1333A, 214B"
эртип,"1333A, 1796A, 2264A, 974B, 924C, 1375C"
сүржүп,"1334A, 1405A"
булуду,"1335A, 2299A, 2519A"
көжүп,"1335A, 1881A, 2299A, 2519A, 3437A, 3473A"
чыдыг,"1336A, 403C"
туманы,1336A
хайнып,"1336A, 1600B"
шуурган,"1337A, 699C, 707C, 1630C, 1634C"
халап,"1338A, 2300A"
чаарда,"1339A, 1341A"
бай,"1340A, 1342A, 4B, 7B, 1174B, 1467B, 1495B, 1499B, 1500B, 1505B, 1513B, 1516B, 1529B, 1535B, 1536B, 1538B, 1541B, 1545B, 1547B, 1548B, 1550B, 1562B, 1564B, 1565B, 1567B, 1572B, 1608B, 1612B, 288C, 292C, 300C, 305C, 581C, 586C, 590C, 593C, 595C, 604C, 608C, 613C, 686C, 706C, 709C, 714C, 722C, 843C, 890C, 1335C, 1569C, 1581C"
аалдыӊ,"1340A, 1425B, 1567B"
коданы,"1340A, 337B, 1065B, 1432B, 300C, 1655C, 1656C, 1669C, 1689C, 1703C, 1706C, 1725C, 1737C"
хөртүк,"1340A, 1342A"
ойлуп,"1340A, 1342A, 3049A, 3051A, 3212A"
дээвиири,1342A
шуурганга,1344A
азып,"1346A, 1394A, 1631A, 1634A, 2621A, 2674A, 3196A, 3201A, 3283A, 1103C, 1754C"
тенип,"1346A, 1394A, 2674A, 3283A, 1563C"
кулак,"1348A, 2717A"
эрте,"1348A, 746B, 760B, 773B, 786B, 805B, 819B, 1496B, 1605B, 171C, 388C, 389C, 575C, 930C, 1651C"
халыткаш,1348A
эжиин,"1349A, 1735A"
ажыткаш,"1349A, 597B, 871B"
октапкаш,"1350A, 3204A, 32B, 628C, 965C, 968C, 983C, 986C, 1001C, 1002C"
иезинче,1351A
чана,"1352A, 998B, 1398B, 123C, 161C, 668C, 1101C"
аарыг,"1354A, 1361C, 1371C"
човулаӊ,1354A
киирбээн,1356A
аүрзү,1359A
шырайыныӊ,1359A
коргунчуунга,1359A
шилгини,"1360A, 1950A, 2732A, 2964A"
даваннарыныӊ,1360A
дааш,"1361A, 2333A, 354B, 861B, 866B, 659C, 707C, 707C, 711C, 1424C"
диӊмидинге,1361A
барба,"1363A, 111C, 113C"
палырадыр,1363A
пакалап,"1363A, 2792A"
силиредир,"1364A, 2793A"
өндейип,1365A
уран,"1368A, 1433B, 1433B"
шеверлерге,1368A
эптеттиргеш,1368A
эптей,1369A
чадашкан,1369A
эптедип,"1371A, 1414A"
тиин,"1372A, 1428C"
тиглеп,1372A
эптеп,"1373A, 1432A"
дамырактыг,"1375A, 3187A"
ижип,"1375A, 2679A, 2868A, 3000A, 3465A, 145B, 511B, 610B, 617B, 42C, 343C, 1733C, 1735C, 1758C"
чаяаӊ,1376A
чара,"1376A, 1596A, 1803A, 1946A, 2254A, 2343A, 2481A, 2512A, 2746A, 2788A, 2958A, 2962A, 3250A, 3471A, 1210B, 1247B, 1283B, 1284B, 1287B, 1597B, 639C, 1022C, 1043C, 1138C, 1141C, 1142C, 1143C, 1227C, 1233C"
салдыпкаш,1377A
уйгузун,1378A
аскан,1380A
тенээн,"1380A, 582B"
та,"1382A, 19B, 198B, 1037B, 125C, 256C, 283C, 1202C, 1554C"
чежеге,1382A
бодунун,1385A
дөӊмээни,"1388A, 2727A"
майыында,1389A
сывырлып,"1389A, 2318A"
кырызыныӊ,1390A
үзүлгеш,"1390A, 320B"
билээнде,1391A
эстир,1392A
душ,"1394A, 1648C"
оранга,"1395A, 2391A, 3223A, 229B, 235B, 245B, 314B, 401B, 412B, 1467B, 1484B, 686C"
хаанын,1397A
адырып,"1397A, 1401A, 2800A, 3139A"
чадаан,1397A
сувайлыккан,1398A
бени,"1399A, 915C, 917C, 920C, 926C, 1243C, 1247C, 1251C"
чаап,"1400A, 2520A, 364B, 699C"
алырга,"1401A, 1414A, 288B"
беш,"1403A, 1448A, 2381A, 2383A, 3038A, 3151A, 326B, 337B, 338B, 347B, 351B, 377B, 407B, 19C, 19C, 34C, 34C, 38C, 38C, 1281C"
векте,1403A
үеде,"1403A, 2599A, 1124B, 1562B"
дошкуң,1404A
тынымдан,1407A
чарлыр,1408A
частым,1408A
чедер,"1410A, 2099A, 2101A, 2656A, 2657A, 2967A, 55B, 96B, 946B, 1666C, 1673C, 1697C, 1705C"
алыксаанын,1411A
алгай,"1411A, 416C, 845C"
соту,"1415A, 1888A, 2377A"
улузу,1415A
чүктен,"1416A, 1418A, 1043B"
дуяа,1416A
